/dev/tty.usbmodem14601
2018-10-14 00:48:34
0700190007001900070019000700190007001900
070019000700190007001900070019000700190000000000000000000000
0700190007001900070019000700190007001900
070019000700190007001900070019000700190000000000000000000000
211020182110201821102018211020182110201807000700070007000700
211020182110201821102018211020182110201807000700070007000700
0700190007001900070019000700190007001900
070019000700190007001900070019000700190000000000000000000000
111120181111201811112018111120181111201807000700070007000700
111120181111201811112018111120181111201807000700070007000700
HH:MM:SS MO/DY/YEAR LED01 PIR01 LED02 PIR02 LED03 PIR03 LED04 PIR04 LED05 PIR05 LED06 PIR06 LED07 PIR07 LED08 PIR08 LED09 PIR09 LED10 PIR10
00:49:00 10/14/2018 00000 00000 00000 10000 00000 00000 00000 00000 00000 00000 00000 00000 00000 10000 00000 00000 00000 00000 00000 00000  
00:50:00 10/14/2018 00000 00000 00000 10000 00000 00000 00000 00000 00000 00000 00000 00000 00000 10000 00000 00000 00000 00000 00000 00000  
00:51:00 10/14/2018 00000 00000 00000 10000 00000 00000 00000 00000 00000 00000 00000 00000 00000 10000 00000 00000 00000 00000 00000 00000  
00:52:00 10/14/2018 00000 00000 00000 10000 00000 00000 00000 00000 00000 00000 00000 00000 00000 10000 00000 00000 00000 00000 00000 00000  
00:53:00 10/14/2018 00000 00000 00000 10000 00000 00000 00000 00000 00000 00000 00000 00000 00000 10000 00000 00000 00000 00000 00000 00000  
00:54:00 10/14/2018 00000 00000 00000 10000 00000 00000 00000 00000 00000 00000 00000 00000 00000 10000 00000 00000 00000 00000 00000 00000  
00:55:00 10/14/2018 00000 00000 00000 00802 00000 00000 00000 00000 00000 00000 00000 00000 00000 10000 00000 00000 00000 00000 00000 00000  
00:56:00 10/14/2018 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 10000 00000 00000 00000 00000 00000 00000  
00:57:00 10/14/2018 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 10000 00000 00000 00000 00000 00000 00000  
00:58:00 10/14/2018 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 10000 00000 00000 00000 00000 00000 00000  
00:59:00 10/14/2018 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 10000 00000 00000 00000 00000 00000 00000  
01:00:00 10/14/2018 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 10000 00000 00000 00000 00000 00000 00000  
01:01:00 10/14/2018 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 10000 00000 00000 00000 00000 00000 00000  
01:02:00 10/14/2018 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 10000 00000 00000 00000 00000 00000 00000  
01:03:00 10/14/2018 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 10000 00000 00000 00000 00000 00000 00000  
01:04:00 10/14/2018 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 10000 00000 00000 00000 00000 00000 00000  
01:05:00 10/14/2018 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 10000 00000 00000 00000 00000 00000 00000  
01:06:00 10/14/2018 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 10000 00000 00000 00000 00000 00000 00000  
01:07:00 10/14/2018 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 10000 00000 00000 00000 00000 00000 00000  
01:08:00 10/14/2018 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 10000 00000 00000 00000 00000 00000 00000  
01:09:00 10/14/2018 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 10000 00000 00000 00000 00000 00000 00000  
01:10:00 10/14/2018 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 10000 00000 00000 00000 00000 00000 00000  
