/dev/ttyACM0
2022-07-12 15:08:57
0700190007001900070019000700190007001900
070019000700190007001900070019000700190000000000000000000000
0700190007001900070019000700190007001900
070019000700190007001900070019000700190000000000000000000000
190720221907202219072022190720221907202207000700070007000700
190720221907202219072022190720221907202207000700070007000700
0700190007001900070019000700190007001900
070019000700190007001900070019000700190000000000000000000000
090820220908202209082022090820220908202207000700070007000700
090820220908202209082022090820220908202207000700070007000700
HH:MM:SS MO/DY/YEAR LED01 PIR01 LED02 PIR02 LED03 PIR03 LED04 PIR04 LED05 PIR05 LED06 PIR06 LED07 PIR07 LED08 PIR08 LED09 PIR09 LED10 PIR10
15:10:00 07/12/2022 00001 00125 00001 00093 00001 00000 00001 00111 00001 00180 00001 01000 00001 00948 00001 00015 00001 01000 00001 01000  
15:11:00 07/12/2022 00001 00000 00001 00000 00001 00000 00001 00000 00001 00000 00001 01000 00001 01000 00001 00000 00001 01000 00001 01000  
15:12:00 07/12/2022 00001 00038 00001 00000 00001 00000 00001 00111 00001 00000 00001 01000 00001 01000 00001 00000 00001 01000 00001 01000  
15:13:00 07/12/2022 00001 00039 00001 00037 00001 00000 00001 00074 00001 00000 00001 01000 00001 01000 00001 00000 00001 01000 00001 01000  
15:14:00 07/12/2022 00001 00000 00001 00000 00001 00000 00001 00000 00001 00000 00001 01000 00001 01000 00001 00000 00001 01000 00001 01000  
15:15:00 07/12/2022 00001 00000 00001 00000 00001 00000 00001 00000 00001 00000 00001 01000 00001 01000 00001 00000 00001 01000 00001 01000  
15:16:00 07/12/2022 00001 00229 00001 00074 00001 00000 00001 00369 00001 00072 00001 01000 00001 01000 00001 00000 00001 01000 00001 01000  
15:17:00 07/12/2022 00001 00152 00001 00111 00001 00072 00001 00221 00001 00259 00001 01000 00001 01000 00001 00000 00001 01000 00001 01000  
15:19:00 07/12/2022 00001 00077 00001 00111 00001 00000 00001 00111 00001 00122 00001 01000 00001 01000 00001 00000 00001 01000 00001 01000  
15:20:00 07/12/2022 00001 00039 00001 00037 00001 00000 00001 00074 00001 00077 00001 01000 00001 01000 00001 00000 00001 01000 00001 01000  
15:21:00 07/12/2022 00001 00039 00001 00000 00001 00000 00001 00037 00001 00075 00001 01000 00001 01000 00001 00000 00001 01000 00001 01000  
15:22:00 07/12/2022 00001 00038 00001 00000 00001 00000 00001 00111 00001 00000 00001 01000 00001 01000 00001 00000 00001 01000 00001 01000  
15:23:00 07/12/2022 00001 00000 00001 00000 00001 00000 00001 00000 00001 00000 00001 01000 00001 01000 00001 00000 00001 01000 00001 01000  
15:24:00 07/12/2022 00001 00000 00001 00000 00001 00000 00001 00037 00001 00000 00001 01000 00001 01000 00001 00000 00001 01000 00001 01000  
15:25:00 07/12/2022 00001 00000 00001 00000 00001 00000 00001 00000 00001 00000 00001 01000 00001 01000 00001 00000 00001 01000 00001 01000  
15:26:00 07/12/2022 00001 00000 00001 00000 00001 00000 00001 00037 00001 00000 00001 01000 00001 01000 00001 00000 00001 01000 00001 01000  
15:28:00 07/12/2022 00001 00077 00001 00074 00001 00000 00001 00110 00001 00104 00001 01000 00001 01000 00001 00000 00001 01000 00001 01000  
15:29:00 07/12/2022 00001 00114 00001 00037 00001 00000 00001 00111 00001 00075 00001 01000 00001 01000 00001 00000 00001 01000 00001 01000  
15:30:00 07/12/2022 00001 00000 00001 00037 00001 00000 00001 00000 00001 00000 00001 01000 00001 01000 00001 00000 00001 01000 00001 01000  
15:31:00 07/12/2022 00001 00000 00001 00000 00001 00000 00001 00030 00001 00000 00001 01000 00001 01000 00001 00000 00001 01000 00001 01000  
15:32:00 07/12/2022 00001 00307 00001 00000 00001 00000 00001 00302 00001 00000 00001 01000 00001 01000 00001 00000 00001 01000 00001 01000  
15:33:00 07/12/2022 00001 00000 00001 00000 00001 00000 00001 00000 00001 00000 00001 01000 00001 01000 00001 00000 00001 01000 00001 01000  
15:34:00 07/12/2022 00001 00038 00001 00000 00001 00000 00001 00078 00001 00000 00001 01000 00001 01000 00001 00000 00001 01000 00001 01000  
15:35:00 07/12/2022 00001 00000 00001 00037 00001 00000 00001 00070 00001 00000 00001 01000 00001 01000 00001 00000 00001 01000 00001 01000  
15:37:00 07/12/2022 00001 00000 00001 00000 00001 00000 00001 00000 00001 00000 00001 01000 00001 01000 00001 00000 00001 01000 00001 01000  
15:38:00 07/12/2022 00001 00116 00001 00000 00001 00000 00001 00111 00001 00000 00001 01000 00001 01000 00001 00000 00001 01000 00001 01000  
15:39:00 07/12/2022 00001 00038 00001 00000 00001 00000 00001 00037 00001 00000 00001 01000 00001 01000 00001 00000 00001 01000 00001 01000  
15:40:00 07/12/2022 00001 00077 00001 00074 00001 00000 00001 00073 00001 00138 00001 01000 00001 01000 00001 00000 00001 01000 00001 01000  
15:41:00 07/12/2022 00001 00115 00001 00038 00001 00036 00001 00111 00001 00099 00001 01000 00001 01000 00001 00000 00001 01000 00001 01000  
15:42:00 07/12/2022 00001 00152 00001 00000 00001 00000 00001 00221 00001 00000 00001 01000 00001 01000 00001 00000 00001 01000 00001 01000  
15:43:00 07/12/2022 00001 00077 00001 00000 00001 00000 00001 00111 00001 00000 00001 01000 00001 01000 00001 00000 00001 01000 00001 01000  
15:44:00 07/12/2022 00001 00039 00001 00000 00001 00000 00001 00037 00001 00000 00001 01000 00001 01000 00001 00000 00001 01000 00001 01000  
15:46:00 07/12/2022 00001 00038 00001 00000 00001 00000 00001 00000 00001 00000 00001 01000 00001 01000 00001 00000 00001 01000 00001 01000  
15:47:00 07/12/2022 00001 00115 00001 00000 00001 00000 00001 00037 00001 00000 00001 01000 00001 01000 00001 00000 00001 01000 00001 01000  
15:48:00 07/12/2022 00001 00077 00001 00000 00001 00000 00001 00148 00001 00000 00001 01000 00001 01000 00001 00000 00001 01000 00001 01000  
15:49:00 07/12/2022 00001 00000 00001 00000 00001 00000 00001 00037 00001 00000 00001 01000 00001 01000 00001 00000 00001 01000 00001 01000  
15:50:00 07/12/2022 00001 00000 00001 00000 00001 00000 00001 00037 00001 00000 00001 01000 00001 01000 00001 00000 00001 01000 00001 01000  
15:51:00 07/12/2022 00001 00150 00001 00021 00001 00000 00001 00213 00001 00087 00001 01000 00001 01000 00001 00000 00001 01000 00001 01000  
15:52:00 07/12/2022 00001 00192 00001 00016 00001 00000 00001 00192 00001 00238 00001 01000 00001 01000 00001 00000 00001 01000 00001 01000  
