/dev/ttyACM0
2022-08-11 12:57:06
0700190007001900070019000700190007001900
0000000000
0700190007001900070019000700190007001900
0000000000
180820221808202218082022180820221808202207000700070007000700
0700190007001900070019000700190007001900
0000000000
250820222508202225082022250820222508202207000700070007000700
0700190007001900070019000700190007001900
0000000000
010920220109202201092022010920220109202207000700070007000700
0700190007001900070019000700190007001900
0000000000
080920220809202208092022080920220809202207000700070007000700
0700190007001900070019000700190007001900
0000000000
150920221509202215092022150920221509202207000700070007000700
0700190007001900070019000700190007001900
0000000000
220920222209202222092022220920222209202207000700070007000700
0700190007001900070019000700190007001900
0000000000
290920222909202229092022290920222909202207000700070007000700
0700190007001900070019000700190007001900
0000000000
061020220610202206102022061020220610202207000700070007000700
0700190007001900070019000700190007001900
0000000000
131020221310202213102022131020221310202207000700070007000700
0700190007001900070019000700190007001900
0000000000
201020222010202220102022201020222010202207000700070007000700
0700190007001900070019000700190007001900
0000000000
271020222710202227102022271020222710202207000700070007000700
HH:MM:SS MO/DY/YEAR LED01 PIR01 LED02 PIR02 LED03 PIR03 LED04 PIR04 LED05 PIR05
12:58:59 08/11/2022 00001 00300 00001 00022 00001 00000 00001 00000 00001 00300  
12:59:59 08/11/2022 00001 00300 00001 00011 00001 00000 00001 00000 00001 00300  
13:00:59 08/11/2022 00001 00300 00001 00011 00001 00000 00001 00000 00001 00300  
13:01:59 08/11/2022 00001 00300 00001 00045 00001 00000 00001 00000 00001 00300  
13:02:59 08/11/2022 00001 00300 00001 00057 00001 00032 00001 00033 00001 00300  
13:03:59 08/11/2022 00001 00300 00001 00056 00001 00077 00001 00022 00001 00300  
13:04:59 08/11/2022 00001 00300 00001 00044 00001 00066 00001 00011 00001 00300  
13:05:59 08/11/2022 00001 00300 00001 00011 00001 00000 00001 00011 00001 00300  
13:06:59 08/11/2022 00001 00300 00001 00000 00001 00000 00001 00000 00001 00300  
13:07:59 08/11/2022 00001 00300 00001 00000 00001 00000 00001 00011 00001 00300  
13:08:59 08/11/2022 00001 00300 00001 00000 00001 00000 00001 00000 00001 00300  
13:09:59 08/11/2022 00001 00300 00001 00000 00001 00000 00001 00000 00001 00300  
13:10:59 08/11/2022 00001 00300 00001 00000 00001 00000 00001 00000 00001 00300  
13:11:59 08/11/2022 00001 00300 00001 00000 00001 00000 00001 00022 00001 00300  
13:12:59 08/11/2022 00001 00300 00001 00011 00001 00000 00001 00011 00001 00300  
13:13:59 08/11/2022 00001 00300 00001 00000 00001 00000 00001 00033 00001 00300  
13:14:59 08/11/2022 00001 00300 00001 00000 00001 00000 00001 00000 00001 00300  
13:15:59 08/11/2022 00001 00300 00001 00000 00001 00000 00001 00000 00001 00300  
13:16:59 08/11/2022 00001 00300 00001 00000 00001 00000 00001 00000 00001 00300  
13:17:59 08/11/2022 00001 00300 00001 00011 00001 00000 00001 00000 00001 00300  
13:18:59 08/11/2022 00001 00300 00001 00000 00001 00000 00001 00000 00001 00300  
13:19:59 08/11/2022 00001 00300 00001 00000 00001 00000 00001 00000 00001 00300  
13:20:59 08/11/2022 00001 00300 00001 00000 00001 00000 00001 00000 00001 00300  
13:21:59 08/11/2022 00001 00300 00001 00000 00001 00000 00001 00000 00001 00300  
13:22:59 08/11/2022 00001 00300 00001 00000 00001 00000 00001 00011 00001 00300  
13:23:59 08/11/2022 00001 00300 00001 00000 00001 00000 00001 00022 00001 00300  
13:24:59 08/11/2022 00001 00300 00001 00000 00001 00000 00001 00011 00001 00300  
13:25:59 08/11/2022 00001 00300 00001 00000 00001 00000 00001 00011 00001 00300  
13:26:59 08/11/2022 00001 00300 00001 00000 00001 00000 00001 00011 00001 00300  
13:27:59 08/11/2022 00001 00300 00001 00000 00001 00000 00001 00000 00001 00300  
13:28:59 08/11/2022 00001 00300 00001 00000 00001 00000 00001 00011 00001 00300  
13:29:59 08/11/2022 00001 00300 00001 00000 00001 00000 00001 00022 00001 00300  
13:30:59 08/11/2022 00001 00300 00001 00000 00001 00000 00001 00005 00001 00300  
13:31:59 08/11/2022 00001 00300 00001 00011 00001 00000 00001 00017 00001 00300  
13:32:59 08/11/2022 00001 00300 00001 00000 00001 00000 00001 00044 00001 00300  
13:33:59 08/11/2022 00001 00300 00001 00000 00001 00000 00001 00011 00001 00300  
13:34:59 08/11/2022 00001 00300 00001 00000 00001 00000 00001 00000 00001 00300  
13:35:59 08/11/2022 00001 00300 00001 00000 00001 00000 00001 00000 00001 00300  
13:36:59 08/11/2022 00001 00300 00001 00000 00001 00000 00001 00011 00001 00300  
13:37:59 08/11/2022 00001 00300 00001 00000 00001 00000 00001 00011 00001 00300  
13:38:59 08/11/2022 00001 00300 00001 00000 00001 00000 00001 00033 00001 00300  
13:39:59 08/11/2022 00001 00300 00001 00000 00001 00000 00001 00033 00001 00300  
13:40:59 08/11/2022 00001 00300 00001 00000 00001 00000 00001 00043 00001 00300  
13:41:59 08/11/2022 00001 00300 00001 00000 00001 00000 00001 00000 00001 00300  
13:42:59 08/11/2022 00001 00300 00001 00000 00001 00000 00001 00000 00001 00300  
13:43:59 08/11/2022 00001 00300 00001 00000 00001 00000 00001 00011 00001 00300  
13:44:59 08/11/2022 00001 00300 00001 00000 00001 00000 00001 00054 00001 00300  
13:45:59 08/11/2022 00001 00300 00001 00000 00001 00000 00001 00000 00001 00300  
13:46:59 08/11/2022 00001 00300 00001 00000 00001 00000 00001 00011 00001 00300  
13:47:59 08/11/2022 00001 00300 00001 00000 00001 00000 00001 00011 00001 00300  
13:48:59 08/11/2022 00001 00300 00001 00000 00001 00000 00001 00033 00001 00300  
13:49:59 08/11/2022 00001 00300 00001 00000 00001 00000 00001 00033 00001 00300  
13:50:59 08/11/2022 00001 00300 00001 00011 00001 00000 00001 00044 00001 00300  
13:51:59 08/11/2022 00001 00300 00001 00000 00001 00000 00001 00033 00001 00300  
