COM5
2023-12-08 11:01:20
00000
0700190007001900070019000700190007001900
0000000000
0700190007001900070019000700190007001900
1010101010
081220230812202308122023081220230812202311301130113011301130
0700190007001900070019000700190007001900
0000000000
081220230812202308122023081220230812202312001200120012001200
0700190007001900070019000700190007001900
0000000000
081220230812202308122023081220230812202313001300130013001300
0700190007001900070019000700190007001900
0000000000
050120240501202405012024050120240501202407000700070007000700
0700190007001900070019000700190007001900
0000000000
120120241201202412012024120120241201202407000700070007000700
0700190007001900070019000700190007001900
0000000000
190120241901202419012024190120241901202407000700070007000700
0700190007001900070019000700190007001900
0000000000
260120242601202426012024260120242601202407000700070007000700
0700190007001900070019000700190007001900
0000000000
020220240202202402022024020220240202202407000700070007000700
0700190007001900070019000700190007001900
0000000000
090220240902202409022024090220240902202407000700070007000700
0700190007001900070019000700190007001900
0000000000
160220241602202416022024160220241602202407000700070007000700
0700190007001900070019000700190007001900
0000000000
230220242302202423022024230220242302202407000700070007000700
242728402424242424242424242221122424242424242424242424242424
242424242424242424242424242424242424242424242424242424242424
HH:MM:SS MO/DY/YEAR LED01 PIR01 LUM01 LED02 PIR02 LUM02 LED03 PIR03 LUM03 LED04 PIR04 LUM04 LED05 PIR05 LUM05
11:03:00 12/08/2023 00001 00191 00246 00001 00050 00099 00001 00191 00059 00001 00191 00105 00001 00015 00072  
11:04:00 12/08/2023 00001 00000 00246 00001 00000 00099 00001 00191 00059 00001 00191 00105 00001 00000 00072  
11:05:00 12/08/2023 00001 00000 00245 00001 00000 00099 00001 00191 00059 00001 00191 00105 00001 00000 00072  
11:06:00 12/08/2023 00001 00000 00245 00001 00000 00099 00001 00191 00059 00001 00191 00105 00001 00000 00072  
11:07:00 12/08/2023 00001 00000 00245 00001 00000 00099 00001 00191 00059 00001 00191 00105 00001 00000 00072  
11:08:00 12/08/2023 00001 00000 00245 00001 00000 00099 00001 00191 00059 00001 00191 00105 00001 00000 00072  
11:09:00 12/08/2023 00001 00000 00243 00001 00000 00098 00001 00191 00059 00001 00191 00104 00001 00000 00071  
11:10:00 12/08/2023 00001 00000 00244 00001 00000 00099 00001 00191 00059 00001 00191 00105 00001 00000 00072  
11:11:00 12/08/2023 00001 00000 00244 00001 00000 00099 00001 00191 00059 00001 00191 00105 00001 00000 00072  
11:12:00 12/08/2023 00001 00000 00244 00001 00000 00099 00001 00191 00059 00001 00191 00105 00001 00000 00072  
11:13:00 12/08/2023 00001 00000 00244 00001 00000 00099 00001 00191 00059 00001 00191 00105 00001 00000 00072  
11:14:00 12/08/2023 00001 00000 00244 00001 00000 00099 00001 00191 00059 00001 00191 00106 00001 00000 00072  
11:15:00 12/08/2023 00001 00000 00244 00001 00000 00099 00001 00191 00059 00001 00191 00106 00001 00000 00072  
11:16:00 12/08/2023 00001 00000 00243 00001 00000 00099 00001 00191 00059 00001 00191 00105 00001 00000 00071  
11:17:00 12/08/2023 00001 00000 00243 00001 00000 00099 00001 00191 00059 00001 00191 00105 00001 00000 00071  
11:18:00 12/08/2023 00001 00000 00242 00001 00000 00099 00001 00191 00059 00001 00191 00105 00001 00000 00071  
11:19:00 12/08/2023 00001 00000 00242 00001 00000 00099 00001 00191 00059 00001 00191 00105 00001 00000 00071  
11:20:00 12/08/2023 00001 00000 00241 00001 00000 00099 00001 00191 00059 00001 00191 00105 00001 00000 00071  
11:21:00 12/08/2023 00001 00000 00241 00001 00000 00099 00001 00191 00059 00001 00191 00105 00001 00000 00071  
11:22:00 12/08/2023 00001 00000 00241 00001 00000 00099 00001 00191 00059 00001 00191 00105 00001 00000 00071  
11:23:00 12/08/2023 00001 00000 00238 00001 00000 00096 00001 00191 00056 00001 00191 00102 00001 00000 00068  
11:24:00 12/08/2023 00001 00000 00238 00001 00000 00095 00001 00191 00055 00001 00191 00102 00001 00000 00068  
11:25:00 12/08/2023 00001 00000 00241 00001 00000 00097 00001 00191 00057 00001 00191 00103 00001 00000 00069  
11:26:00 12/08/2023 00001 00000 00242 00001 00000 00097 00001 00191 00057 00001 00191 00103 00001 00000 00069  
11:27:00 12/08/2023 00001 00000 00242 00001 00000 00097 00001 00191 00057 00001 00191 00103 00001 00000 00069  
11:28:00 12/08/2023 00001 00000 00242 00001 00000 00097 00001 00191 00057 00001 00191 00103 00001 00000 00069  
11:29:00 12/08/2023 00001 00000 00242 00001 00000 00098 00001 00191 00057 00001 00191 00104 00001 00000 00070  
11:30:00 12/08/2023 00000 00000 00240 00000 00000 00096 00000 00000 00056 00000 00000 00103 00000 00000 00071  
11:31:00 12/08/2023 00000 00000 00243 00000 00000 00096 00000 00000 00057 00000 00000 00103 00000 00000 00074  
11:32:00 12/08/2023 00000 00000 00243 00000 00000 00096 00000 00000 00057 00000 00000 00103 00000 00000 00074  
11:33:00 12/08/2023 00000 00000 00243 00000 00000 00096 00000 00000 00057 00000 00000 00103 00000 00000 00074  
11:34:00 12/08/2023 00000 00000 00244 00000 00000 00096 00000 00000 00057 00000 00000 00103 00000 00000 00075  
11:35:00 12/08/2023 00000 00000 00244 00000 00000 00096 00000 00000 00057 00000 00000 00103 00000 00000 00076  
11:36:00 12/08/2023 00000 00000 00243 00000 00000 00096 00000 00000 00057 00000 00000 00104 00000 00000 00078  
11:37:00 12/08/2023 00000 00000 00243 00000 00000 00096 00000 00000 00057 00000 00000 00104 00000 00000 00079  
11:38:00 12/08/2023 00000 00000 00243 00000 00000 00096 00000 00000 00057 00000 00000 00103 00000 00000 00080  
11:39:00 12/08/2023 00000 00000 00243 00000 00000 00096 00000 00000 00057 00000 00000 00103 00000 00000 00080  
11:40:00 12/08/2023 00000 00000 00242 00000 00000 00095 00000 00000 00056 00000 00000 00103 00000 00000 00080  
11:41:00 12/08/2023 00000 00000 00243 00000 00000 00096 00000 00000 00057 00000 00000 00103 00000 00000 00080  
11:42:00 12/08/2023 00000 00000 00243 00000 00000 00097 00000 00000 00057 00000 00000 00103 00000 00000 00080  
11:43:00 12/08/2023 00000 00000 00242 00000 00000 00097 00000 00000 00057 00000 00000 00103 00000 00000 00080  
11:44:00 12/08/2023 00000 00000 00242 00000 00000 00097 00000 00000 00057 00000 00000 00104 00000 00000 00081  
11:45:00 12/08/2023 00000 00000 00243 00000 00000 00098 00000 00000 00059 00000 00000 00105 00000 00000 00081  
11:46:00 12/08/2023 00000 00000 00244 00000 00000 00100 00000 00000 00060 00000 00000 00106 00000 00000 00082  
11:47:00 12/08/2023 00000 00000 00243 00000 00000 00100 00000 00000 00060 00000 00000 00106 00000 00000 00082  
11:48:00 12/08/2023 00000 00000 00243 00000 00000 00099 00000 00000 00060 00000 00000 00106 00000 00000 00082  
11:49:00 12/08/2023 00000 00000 00243 00000 00000 00099 00000 00000 00059 00000 00000 00106 00000 00000 00081  
11:50:00 12/08/2023 00000 00000 00242 00000 00000 00099 00000 00000 00059 00000 00000 00106 00000 00000 00081  
11:51:00 12/08/2023 00000 00000 00242 00000 00000 00099 00000 00000 00059 00000 00000 00106 00000 00000 00081  
11:52:00 12/08/2023 00000 00000 00242 00000 00000 00099 00000 00000 00059 00000 00000 00106 00000 00000 00081  
11:53:00 12/08/2023 00000 00000 00242 00000 00000 00099 00000 00000 00059 00000 00000 00106 00000 00000 00081  
11:54:00 12/08/2023 00000 00000 00240 00000 00000 00096 00000 00000 00057 00000 00000 00102 00000 00000 00078  
11:55:00 12/08/2023 00000 00000 00240 00000 00000 00096 00000 00000 00057 00000 00000 00102 00000 00000 00078  
11:56:00 12/08/2023 00000 00000 00236 00000 00000 00095 00000 00000 00056 00000 00000 00102 00000 00000 00075  
11:57:00 12/08/2023 00000 00000 00239 00000 00000 00097 00000 00000 00057 00000 00000 00103 00000 00000 00079  
11:58:00 12/08/2023 00000 00000 00239 00000 00000 00096 00000 00000 00057 00000 00000 00102 00000 00000 00078  
11:59:00 12/08/2023 00000 00000 00239 00000 00000 00096 00000 00000 00057 00000 00000 00102 00000 00000 00078  
12:00:00 12/08/2023 00001 00039 00239 00001 00012 00096 00001 00191 00057 00001 00191 00103 00001 00011 00078  
12:01:00 12/08/2023 00001 00000 00240 00001 00000 00093 00001 00191 00051 00001 00191 00097 00001 00000 00074  
12:02:00 12/08/2023 00001 00000 00219 00001 00000 00095 00001 00191 00041 00001 00191 00097 00001 00000 00083  
12:03:00 12/08/2023 00001 00000 00259 00001 00000 00097 00001 00191 00054 00001 00191 00091 00001 00000 00104  
12:04:00 12/08/2023 00001 00000 00260 00001 00000 00097 00001 00191 00054 00001 00191 00091 00001 00000 00106  
12:05:00 12/08/2023 00001 00000 00260 00001 00000 00097 00001 00191 00054 00001 00191 00092 00001 00000 00105  
12:06:00 12/08/2023 00001 00000 00259 00001 00000 00097 00001 00191 00054 00001 00191 00091 00001 00000 00105  
12:07:00 12/08/2023 00001 00000 00259 00001 00000 00097 00001 00191 00054 00001 00191 00091 00001 00000 00105  
12:08:00 12/08/2023 00001 00000 00258 00001 00000 00097 00001 00191 00054 00001 00191 00090 00001 00000 00104  
12:09:00 12/08/2023 00001 00000 00258 00001 00000 00096 00001 00191 00054 00001 00191 00091 00001 00000 00104  
12:10:00 12/08/2023 00001 00000 00257 00001 00000 00096 00001 00191 00054 00001 00191 00090 00001 00000 00104  
12:11:00 12/08/2023 00001 00000 00257 00001 00000 00095 00001 00191 00053 00001 00191 00089 00001 00000 00104  
12:12:00 12/08/2023 00001 00008 00247 00001 00000 00093 00001 00191 00052 00001 00191 00086 00001 00099 00096  
12:13:00 12/08/2023 00001 00000 00260 00001 00000 00100 00001 00191 00059 00001 00191 00092 00001 00191 00106  
12:14:00 12/08/2023 00001 00000 00253 00001 00000 00098 00001 00191 00057 00001 00191 00091 00001 00191 00101  
12:15:00 12/08/2023 00001 00000 00240 00001 00000 00095 00001 00191 00054 00001 00191 00088 00001 00191 00091  
12:16:00 12/08/2023 00001 00000 00241 00001 00000 00094 00001 00191 00055 00001 00191 00087 00001 00191 00089  
12:17:00 12/08/2023 00001 00000 00244 00001 00000 00095 00001 00191 00054 00001 00191 00088 00001 00191 00094  
12:18:00 12/08/2023 00001 00000 00242 00001 00000 00095 00001 00191 00054 00001 00191 00088 00001 00191 00094  
12:19:00 12/08/2023 00001 00000 00239 00001 00000 00094 00001 00191 00054 00001 00191 00088 00001 00191 00092  
12:20:00 12/08/2023 00001 00000 00237 00001 00000 00094 00001 00191 00053 00001 00191 00087 00001 00191 00090  
12:21:00 12/08/2023 00001 00000 00239 00001 00000 00094 00001 00191 00054 00001 00191 00087 00001 00191 00089  
12:22:00 12/08/2023 00001 00000 00241 00001 00000 00093 00001 00191 00054 00001 00191 00087 00001 00191 00089  
12:23:00 12/08/2023 00001 00000 00251 00001 00000 00095 00001 00191 00056 00001 00191 00088 00001 00191 00097  
12:24:00 12/08/2023 00001 00000 00252 00001 00000 00095 00001 00191 00056 00001 00191 00088 00001 00191 00100  
12:25:00 12/08/2023 00001 00000 00256 00001 00000 00097 00001 00191 00057 00001 00191 00089 00001 00191 00104  
12:26:00 12/08/2023 00001 00000 00254 00001 00000 00096 00001 00191 00056 00001 00191 00089 00001 00191 00103  
12:27:00 12/08/2023 00001 00000 00255 00001 00000 00096 00001 00191 00056 00001 00191 00089 00001 00191 00103  
12:28:00 12/08/2023 00001 00000 00255 00001 00000 00096 00001 00191 00056 00001 00191 00089 00001 00191 00103  
12:29:00 12/08/2023 00001 00000 00255 00001 00000 00096 00001 00191 00056 00001 00191 00089 00001 00191 00103  
12:30:00 12/08/2023 00001 00000 00251 00001 00000 00095 00001 00191 00056 00001 00191 00088 00001 00191 00099  
12:31:00 12/08/2023 00001 00000 00249 00001 00000 00094 00001 00191 00055 00001 00191 00088 00001 00191 00097  
12:32:00 12/08/2023 00001 00000 00251 00001 00000 00095 00001 00191 00055 00001 00191 00088 00001 00191 00099  
12:33:00 12/08/2023 00001 00000 00245 00001 00000 00092 00001 00191 00054 00001 00191 00085 00001 00191 00093  
12:34:00 12/08/2023 00001 00000 00252 00001 00000 00095 00001 00191 00056 00001 00191 00087 00001 00191 00101  
12:35:00 12/08/2023 00001 00000 00253 00001 00000 00095 00001 00191 00056 00001 00191 00088 00001 00191 00102  
12:36:00 12/08/2023 00001 00000 00253 00001 00000 00095 00001 00191 00056 00001 00191 00088 00001 00191 00102  
12:37:00 12/08/2023 00001 00000 00253 00001 00000 00095 00001 00191 00056 00001 00191 00088 00001 00191 00102  
12:38:00 12/08/2023 00001 00000 00253 00001 00000 00095 00001 00191 00056 00001 00191 00088 00001 00191 00102  
12:39:00 12/08/2023 00001 00000 00253 00001 00000 00095 00001 00191 00056 00001 00191 00088 00001 00191 00102  
12:40:00 12/08/2023 00001 00000 00252 00001 00000 00095 00001 00191 00056 00001 00191 00088 00001 00191 00102  
12:41:00 12/08/2023 00001 00000 00252 00001 00000 00095 00001 00191 00056 00001 00191 00088 00001 00191 00102  
12:42:00 12/08/2023 00001 00000 00252 00001 00000 00095 00001 00191 00055 00001 00191 00087 00001 00191 00102  
12:43:00 12/08/2023 00001 00000 00252 00001 00000 00095 00001 00191 00055 00001 00191 00087 00001 00191 00102  
12:44:00 12/08/2023 00001 00000 00250 00001 00000 00094 00001 00191 00055 00001 00191 00087 00001 00191 00100  
12:45:00 12/08/2023 00001 00000 00251 00001 00000 00094 00001 00191 00055 00001 00191 00087 00001 00191 00101  
12:46:00 12/08/2023 00001 00000 00249 00001 00000 00094 00001 00191 00055 00001 00191 00086 00001 00191 00101  
12:47:00 12/08/2023 00001 00000 00251 00001 00000 00095 00001 00191 00055 00001 00191 00087 00001 00191 00102  
12:48:00 12/08/2023 00001 00000 00251 00001 00000 00095 00001 00191 00055 00001 00191 00086 00001 00191 00102  
12:49:00 12/08/2023 00001 00000 00250 00001 00000 00094 00001 00191 00055 00001 00191 00086 00001 00191 00080  
12:50:00 12/08/2023 00001 00000 00250 00001 00000 00094 00001 00191 00055 00001 00191 00086 00001 00191 00068  
12:51:00 12/08/2023 00001 00000 00250 00001 00000 00095 00001 00191 00055 00001 00191 00086 00001 00191 00067  
12:52:00 12/08/2023 00001 00000 00229 00001 00000 00088 00001 00191 00050 00001 00191 00080 00001 00191 00052  
12:53:00 12/08/2023 00001 00000 00239 00001 00000 00083 00001 00191 00043 00001 00191 00076 00001 00110 00051  
12:54:00 12/08/2023 00001 00000 00249 00001 00000 00084 00001 00191 00049 00001 00191 00086 00001 00000 00103  
12:55:00 12/08/2023 00001 00000 00247 00001 00000 00083 00001 00191 00047 00001 00191 00084 00001 00000 00101  
12:56:00 12/08/2023 00001 00000 00250 00001 00000 00085 00001 00191 00048 00001 00191 00084 00001 00000 00102  
12:57:00 12/08/2023 00001 00000 00250 00001 00000 00084 00001 00191 00048 00001 00191 00083 00001 00000 00100  
12:58:00 12/08/2023 00001 00000 00210 00001 00000 00072 00001 00191 00036 00001 00191 00058 00001 00000 00082  
12:59:00 12/08/2023 00001 00000 00243 00001 00000 00082 00001 00191 00040 00001 00191 00058 00001 00000 00101  
13:00:00 12/08/2023 00001 00000 00248 00001 00000 00084 00001 00191 00041 00001 00191 00058 00001 00000 00103  
13:01:00 12/08/2023 00001 00000 00247 00001 00000 00084 00001 00191 00041 00001 00191 00058 00001 00000 00103  
13:02:00 12/08/2023 00001 00000 00248 00001 00000 00084 00001 00191 00041 00001 00191 00057 00001 00000 00102  
13:03:00 12/08/2023 00001 00000 00246 00001 00000 00085 00001 00191 00041 00001 00191 00056 00001 00000 00099  
13:04:00 12/08/2023 00001 00000 00228 00001 00000 00079 00001 00191 00039 00001 00191 00043 00001 00000 00086  
13:05:00 12/08/2023 00001 00000 00249 00001 00000 00080 00001 00191 00041 00001 00191 00039 00001 00000 00095  
13:06:00 12/08/2023 00001 00000 00248 00001 00000 00079 00001 00191 00041 00001 00191 00038 00001 00000 00095  
13:07:00 12/08/2023 00001 00000 00248 00001 00000 00080 00001 00191 00042 00001 00191 00038 00001 00000 00095  
13:08:00 12/08/2023 00001 00000 00248 00001 00000 00080 00001 00191 00042 00001 00191 00038 00001 00000 00095  
13:09:00 12/08/2023 00001 00000 00247 00001 00000 00080 00001 00191 00043 00001 00191 00038 00001 00000 00096  
13:10:00 12/08/2023 00001 00000 00247 00001 00000 00080 00001 00191 00044 00001 00191 00037 00001 00000 00096  
13:11:00 12/08/2023 00001 00000 00247 00001 00000 00080 00001 00191 00044 00001 00191 00037 00001 00000 00096  
13:12:00 12/08/2023 00001 00000 00247 00001 00000 00080 00001 00191 00044 00001 00191 00037 00001 00000 00096  
13:13:00 12/08/2023 00001 00000 00247 00001 00000 00080 00001 00191 00044 00001 00191 00037 00001 00000 00096  
13:14:00 12/08/2023 00001 00000 00247 00001 00000 00080 00001 00191 00043 00001 00191 00037 00001 00000 00096  
13:15:00 12/08/2023 00001 00000 00247 00001 00000 00080 00001 00191 00044 00001 00191 00037 00001 00000 00096  
13:16:00 12/08/2023 00001 00000 00247 00001 00000 00080 00001 00191 00044 00001 00191 00037 00001 00000 00096  
13:17:00 12/08/2023 00001 00000 00246 00001 00000 00080 00001 00191 00044 00001 00191 00037 00001 00000 00096  
13:18:00 12/08/2023 00001 00000 00247 00001 00000 00080 00001 00191 00044 00001 00191 00037 00001 00000 00096  
13:19:00 12/08/2023 00001 00000 00247 00001 00000 00080 00001 00191 00044 00001 00191 00037 00001 00000 00096  
13:20:00 12/08/2023 00001 00000 00247 00001 00000 00080 00001 00191 00044 00001 00191 00037 00001 00000 00096  
13:21:00 12/08/2023 00001 00000 00247 00001 00000 00080 00001 00191 00044 00001 00191 00037 00001 00000 00096  
13:22:00 12/08/2023 00001 00000 00247 00001 00000 00080 00001 00191 00044 00001 00191 00037 00001 00000 00096  
13:23:00 12/08/2023 00001 00000 00247 00001 00000 00080 00001 00191 00044 00001 00191 00037 00001 00000 00096  
13:24:00 12/08/2023 00001 00000 00247 00001 00000 00080 00001 00191 00045 00001 00191 00037 00001 00000 00096  
13:25:00 12/08/2023 00001 00000 00247 00001 00000 00080 00001 00191 00045 00001 00191 00037 00001 00000 00096  
13:26:00 12/08/2023 00001 00000 00246 00001 00000 00080 00001 00191 00045 00001 00191 00037 00001 00000 00096  
13:27:00 12/08/2023 00001 00000 00247 00001 00000 00080 00001 00191 00045 00001 00191 00037 00001 00000 00096  
13:28:00 12/08/2023 00001 00000 00247 00001 00000 00080 00001 00191 00045 00001 00191 00037 00001 00000 00097  
13:29:00 12/08/2023 00001 00000 00246 00001 00000 00080 00001 00191 00045 00001 00191 00037 00001 00000 00096  
13:30:00 12/08/2023 00001 00000 00247 00001 00000 00080 00001 00191 00045 00001 00191 00037 00001 00000 00097  
13:31:00 12/08/2023 00001 00000 00246 00001 00000 00080 00001 00191 00046 00001 00191 00037 00001 00000 00097  
13:32:00 12/08/2023 00001 00000 00246 00001 00000 00080 00001 00191 00046 00001 00191 00037 00001 00000 00097  
13:33:00 12/08/2023 00001 00000 00243 00001 00000 00078 00001 00191 00045 00001 00191 00036 00001 00000 00093  
13:34:00 12/08/2023 00001 00000 00243 00001 00000 00078 00001 00191 00045 00001 00191 00036 00001 00000 00093  
13:35:00 12/08/2023 00001 00000 00244 00001 00000 00079 00001 00191 00045 00001 00191 00037 00001 00000 00095  
13:36:00 12/08/2023 00001 00000 00246 00001 00000 00080 00001 00191 00046 00001 00191 00037 00001 00000 00096  
13:37:00 12/08/2023 00001 00000 00246 00001 00000 00080 00001 00191 00046 00001 00191 00037 00001 00000 00096  
13:38:00 12/08/2023 00001 00000 00246 00001 00000 00080 00001 00191 00046 00001 00191 00037 00001 00000 00096  
13:39:00 12/08/2023 00001 00000 00246 00001 00000 00080 00001 00191 00046 00001 00191 00037 00001 00000 00097  
13:40:00 12/08/2023 00001 00000 00246 00001 00000 00080 00001 00191 00046 00001 00191 00037 00001 00000 00097  
13:41:00 12/08/2023 00001 00000 00246 00001 00000 00080 00001 00191 00046 00001 00191 00037 00001 00000 00097  
13:42:00 12/08/2023 00001 00000 00246 00001 00000 00080 00001 00191 00046 00001 00191 00037 00001 00000 00097  
13:43:00 12/08/2023 00001 00000 00246 00001 00000 00080 00001 00191 00046 00001 00191 00037 00001 00000 00097  
13:44:00 12/08/2023 00001 00000 00246 00001 00000 00080 00001 00191 00047 00001 00191 00037 00001 00000 00097  
13:45:00 12/08/2023 00001 00000 00246 00001 00000 00080 00001 00191 00047 00001 00191 00037 00001 00000 00097  
13:46:00 12/08/2023 00001 00000 00246 00001 00000 00080 00001 00191 00047 00001 00191 00037 00001 00000 00097  
13:47:00 12/08/2023 00001 00000 00246 00001 00000 00080 00001 00191 00047 00001 00191 00037 00001 00000 00097  
