COM3
2023-09-13 16:47:47
0700190007001919070019190700191907001919
0000000000
0700190007001900070019000700190007001900
0000000000
200920232009202320092023200920232009202307000700070007000700
0700190007001900070019000700190007001900
0000000000
270920232709202327092023270920232709202307000700070007000700
0700190007001900070019000700190007001900
0000000000
041020230410202304102023041020230410202307000700070007000700
0700190007001900070019000700190007001900
0000000000
111020231110202311102023111020231110202307000700070007000700
0700190007001900070019000700190007001900
0000000000
181020231810202318102023181020231810202307000700070007000700
0700190007001900070019000700190007001900
0000000000
251020232510202325102023251020232510202307000700070007000700
0700190007001900070019000700190007001900
0000000000
011120230111202301112023011120230111202307000700070007000700
0700190007001900070019000700190007001900
0000000000
081120230811202308112023081120230811202307000700070007000700
0700190007001900070019000700190007001900
0000000000
151120231511202315112023151120231511202307000700070007000700
0700190007001900070019000700190007001900
0000000000
221120232211202322112023221120232211202307000700070007000700
0700190007001900070019000700190007001900
0000000000
291120232911202329112023291120232911202307000700070007000700
HH:MM:SS MO/DY/YEAR LED01 PIR01 LED02 PIR02 LED03 PIR03 LED04 PIR04 LED05 PIR05
16:49:00 09/13/2023 00001 00298 00001 00300 00001 00298 00001 00300 00001 00300  
16:50:00 09/13/2023 00001 00300 00001 00300 00001 00300 00001 00300 00001 00300  
16:40:00 07/27/2021 00000 00000 00001 00000 00001 00039 00001 00656 00001 00043  

16:41:00 07/27/2021 00000 00000 00001 00000 00001 00000 00001 00656 00001 00000  

16:42:00 07/27/2021 00000 00000 00001 00000 00001 00000 00001 00656 00001 00000  

16:43:00 07/27/2021 00000 00000 00001 00000 00001 00000 00001 00656 00001 00000  

16:44:00 07/27/2021 00000 00000 00001 00000 00001 00000 00001 00656 00001 00000  

16:45:00 07/27/2021 00000 00000 00001 00000 00001 00000 00001 00656 00001 00000  

16:46:00 07/27/2021 00000 00000 00001 00000 00001 00000 00001 00656 00001 00000  

16:47:00 07/27/2021 00000 00000 00001 00000 00001 00000 00001 00656 00001 00000  

16:48:00 07/27/2021 00000 00000 00001 00000 00001 00000 00001 00656 00001 00000  

16:49:00 07/27/2021 00000 00000 00001 00000 00001 00000 00001 00000 00001 00000  

16:50:00 07/27/2021 00000 00000 00001 00000 00001 00000 00001 00000 00001 00000  

16:51:00 07/27/2021 00000 00000 00001 00000 00001 00000 00001 00000 00001 00000  

16:52:00 07/27/2021 00000 00000 00001 00000 00001 00000 00001 00000 00001 00000  

16:53:00 07/27/2021 00000 00000 00001 00000 00001 00000 00001 00000 00001 00000  

16:54:00 07/27/2021 00000 00000 00001 00000 00001 00000 00001 00000 00001 00000  

16:56:00 07/27/2021 00000 00000 00001 00000 00001 00000 00001 00000 00001 00000  

16:57:00 07/27/2021 00000 00000 00001 00000 00001 00000 00001 00000 00001 00000  

16:58:00 07/27/2021 00000 00000 00001 00000 00001 00000 00001 00000 00001 00000  

16:59:00 07/27/2021 00000 00000 00001 00000 00001 00000 00001 00000 00001 00000  

17:00:00 07/27/2021 00001 00023 00000 00000 00001 00000 00001 00000 00001 00000  

17:01:00 07/27/2021 00001 00000 00000 00000 00001 00000 00001 00000 00001 00000  

17:02:00 07/27/2021 00001 00000 00000 00000 00001 00000 00001 00000 00001 00000  

17:03:00 07/27/2021 00001 00000 00000 00000 00001 00000 00001 00000 00001 00000  

17:04:00 07/27/2021 00001 00000 00000 00000 00001 00000 00001 00000 00001 00000  

17:05:00 07/27/2021 00001 00000 00000 00000 00001 00000 00001 00000 00001 00000  

17:06:00 07/27/2021 00001 00000 00000 00000 00001 00000 00001 00000 00001 00000  

17:07:00 07/27/2021 00001 00000 00000 00000 00001 00000 00001 00000 00001 00000  

17:08:00 07/27/2021 00001 00000 00000 00000 00001 00000 00001 00000 00001 00000  

17:09:00 07/27/2021 00001 00000 00000 00000 00001 00000 00001 00000 00001 00000  

17:10:00 07/27/2021 00001 00000 00000 00000 00001 00000 00001 00000 00001 00000  

17:12:00 07/27/2021 00001 00000 00000 00000 00001 00000 00001 00000 00001 00000  

17:13:00 07/27/2021 00001 00000 00000 00000 00001 00000 00001 00000 00001 00000  

17:14:00 07/27/2021 00001 00000 00000 00000 00001 00000 00001 00000 00001 00000  

17:15:00 07/27/2021 00001 00000 00000 00000 00001 00000 00001 00000 00001 00000  

17:16:00 07/27/2021 00001 00000 00000 00000 00001 00000 00001 00000 00001 00000  

17:17:00 07/27/2021 00001 00000 00000 00000 00001 00000 00001 00000 00001 00000  

17:18:00 07/27/2021 00001 00000 00000 00000 00001 00000 00001 00000 00001 00000  

17:19:00 07/27/2021 00001 00000 00000 00000 00001 00000 00001 00000 00001 00000  

16:52:00 09/13/2023 00001 00300 00001 00300 00001 00300 00001 00300 00001 00300  
16:53:00 09/13/2023 00001 00300 00001 00300 00001 00300 00001 00300 00001 00300  
16:54:00 09/13/2023 00001 00300 00001 00300 00001 00300 00001 00300 00001 00300  
