HH:MM:SS MO/DY/YEAR LED01 PIR01 LED02 PIR02 LED03 PIR03 LED04 PIR04 LED05 PIR05
16:44:00 07/19/2022 00000 00000 00000 00140 00001 00000 00001 00074 00001 00000  
16:45:00 07/19/2022 00000 00000 00000 00000 00001 00000 00001 00000 00001 00000  
16:46:00 07/19/2022 00000 00000 00000 00070 00001 00000 00001 00050 00001 00000  
16:47:00 07/19/2022 00000 00000 00000 00024 00001 00024 00001 00024 00001 00000  
16:48:00 07/19/2022 00000 00000 00000 00070 00001 00000 00001 00073 00001 00000  
16:49:00 07/19/2022 00000 00000 00000 00000 00001 00000 00001 00000 00001 00000  
16:50:00 07/19/2022 00000 00000 00000 00047 00001 00000 00001 00000 00001 00000  
16:51:00 07/19/2022 00000 00000 00000 00000 00001 00000 00001 00000 00001 00000  
16:52:00 07/19/2022 00000 00000 00000 00047 00001 00000 00001 00000 00001 00000  
16:53:00 07/19/2022 00000 00000 00000 00000 00001 00024 00001 00000 00001 00000  
16:54:00 07/19/2022 00000 00000 00000 00047 00001 00000 00001 00050 00001 00000  
16:55:00 07/19/2022 00000 00000 00000 00089 00001 00000 00001 00071 00001 00000  
16:56:00 07/19/2022 00000 00000 00000 00327 00001 00024 00001 00247 00001 00000  
16:57:00 07/19/2022 00000 00000 00000 00093 00001 00000 00001 00098 00001 00000  
16:58:00 07/19/2022 00000 00000 00000 00047 00001 00000 00001 00024 00001 00000  
16:59:00 07/19/2022 00000 00000 00000 00164 00001 00000 00001 00099 00001 00000  
17:00:00 07/19/2022 00000 00000 00000 00048 00001 00024 00001 00000 00001 00000  
17:01:00 07/19/2022 00000 00000 00000 00111 00001 00000 00001 00072 00001 00000  
17:02:00 07/19/2022 00000 00000 00000 00254 00001 00000 00001 00073 00001 00000  
17:03:00 07/19/2022 00000 00000 00000 00157 00001 00000 00001 00068 00001 00000  
17:04:00 07/19/2022 00000 00000 00000 00000 00001 00000 00001 00000 00001 00000  
17:05:00 07/19/2022 00000 00000 00000 00117 00001 00000 00001 00075 00001 00000  
17:06:00 07/19/2022 00000 00000 00000 00187 00001 00000 00001 00024 00001 00000  
17:07:00 07/19/2022 00000 00000 00000 00070 00001 00000 00001 00024 00001 00000  
17:08:00 07/19/2022 00000 00000 00000 00024 00001 00000 00001 00000 00001 00000  
17:09:00 07/19/2022 00000 00000 00000 00116 00001 00024 00001 00098 00001 00000  
17:10:00 07/19/2022 00000 00000 00000 00046 00001 00000 00001 00049 00001 00000  
17:11:00 07/19/2022 00000 00000 00000 00044 00001 00025 00001 00049 00001 00000  
17:12:00 07/19/2022 00000 00000 00000 00071 00001 00000 00001 00049 00001 00000  
17:13:00 07/19/2022 00000 00000 00000 00095 00001 00000 00001 00075 00001 00000  
17:14:00 07/19/2022 00000 00000 00000 00024 00001 00000 00001 00026 00001 00000  
17:15:00 07/19/2022 00000 00000 00000 00024 00001 00000 00001 00000 00001 00000  
17:16:00 07/19/2022 00000 00000 00000 00024 00001 00000 00001 00000 00001 00000  
17:17:00 07/19/2022 00000 00000 00000 00071 00001 00000 00001 00000 00001 00000  
17:18:00 07/19/2022 00000 00000 00000 00000 00001 00000 00001 00000 00001 00000  
17:19:00 07/19/2022 00000 00000 00000 00023 00001 00000 00001 00000 00001 00000  
17:20:00 07/19/2022 00000 00000 00000 00071 00001 00000 00001 00025 00001 00000  
17:21:00 07/19/2022 00000 00000 00000 00094 00001 00000 00001 00049 00001 00000  
17:22:00 07/19/2022 00000 00000 00000 00093 00001 00000 00001 00075 00001 00000  
17:23:00 07/19/2022 00000 00000 00000 00048 00001 00000 00001 00000 00001 00000  
17:24:00 07/19/2022 00000 00000 00000 00117 00001 00048 00001 00049 00001 00000  
17:25:00 07/19/2022 00000 00000 00000 00071 00001 00000 00001 00025 00001 00000  
17:26:00 07/19/2022 00000 00000 00000 00000 00001 00000 00001 00000 00001 00000  
17:27:00 07/19/2022 00000 00000 00000 00024 00001 00000 00001 00000 00001 00000  
17:28:00 07/19/2022 00000 00000 00000 00024 00001 00000 00001 00025 00001 00000  
17:29:00 07/19/2022 00000 00000 00000 00000 00001 00000 00001 00000 00001 00000  
17:30:00 07/19/2022 00000 00000 00000 00024 00001 00000 00001 00000 00001 00000  
17:31:00 07/19/2022 00000 00000 00000 00070 00001 00000 00001 00000 00001 00000  
17:32:00 07/19/2022 00000 00000 00000 00024 00001 00000 00001 00000 00001 00000  
17:33:00 07/19/2022 00000 00000 00000 00024 00001 00000 00001 00000 00001 00000  
17:34:00 07/19/2022 00000 00000 00000 00023 00001 00000 00001 00000 00001 00000  
17:35:00 07/19/2022 00000 00000 00000 00000 00001 00000 00001 00000 00001 00000  
17:36:00 07/19/2022 00000 00000 00000 00000 00001 00024 00001 00024 00001 00000  
17:37:00 07/19/2022 00000 00000 00000 00166 00001 00000 00001 00049 00001 00000  
17:38:00 07/19/2022 00000 00000 00000 00000 00001 00000 00001 00000 00001 00000  
17:39:00 07/19/2022 00000 00000 00000 00025 00001 00024 00001 00000 00001 00000  
17:40:00 07/19/2022 00000 00000 00000 00000 00001 00024 00001 00000 00001 00099  
17:41:00 07/19/2022 00000 00000 00000 00000 00001 00024 00001 00011 00001 00004  
17:42:00 07/19/2022 00000 00000 00000 00000 00001 00000 00001 00298 00001 00036  
17:43:00 07/19/2022 00000 00000 00000 00000 00001 00024 00001 00049 00001 00000  
17:44:00 07/19/2022 00000 00000 00000 00118 00001 00000 00001 00029 00001 00000  
17:45:00 07/19/2022 00000 00000 00000 00048 00001 00000 00001 00009 00001 00000  
17:46:00 07/19/2022 00000 00000 00000 00000 00001 00024 00001 00000 00001 00000  
17:47:00 07/19/2022 00000 00000 00000 00024 00001 00048 00001 00000 00001 00000  
