COM9
2022-03-31 15:11:41
0500170005001700050017000500170005001700
0000000000
0500170005001700050017000500170005001700
1010101010
150420221504202215042022150420221504202205000500050005000500
0500170005001700050017000500170005001700
0000000000
070520220705202207052022070520220705202205000500050005000500
0000120000001200000012000000120000001700
0000000000
220520222205202222052022220520222205202205000500050005000500
0500170005001700050017000500170005001700
0000000000
060620220606202206062022060620220606202205000500050005000500
0500170005001700050017000500170005001700
0000000000
051220220512202205122022051220220512202205000500050005000500
0700190007001900050017000700190007001900
0000000000
120520221205202212052022120520221205202207000700050007000700
0700190007001900070019000700190007001900
0000000000
190520221905202219052022190520221905202207000700070007000700
0700190007001900070019000700190007001900
0000000000
260520222605202226052022260520222605202207000700070007000700
0700190007001900070019000700190007001900
0000000000
020620220206202202062022020620220206202207000700070007000700
0700190007001900070019000700190007001900
0000000000
090620220906202209062022090620220906202207000700070007000700
0700190007001900070019000700190007001900
0000000000
160620221606202216062022160620221606202207000700070007000700
HH:MM:SS MO/DY/YEAR LED01 PIR01 LED02 PIR02 LED03 PIR03 LED04 PIR04 LED05 PIR05
15:13:00 03/31/2022 00001 00198 00001 00126 00001 00291 00001 00229 00001 00131  
15:14:00 03/31/2022 00001 00100 00001 00101 00001 00175 00001 00125 00001 00054  
15:15:00 03/31/2022 00001 00123 00001 00129 00001 00175 00001 00177 00001 00057  
15:16:00 03/31/2022 00001 00025 00001 00102 00001 00151 00001 00000 00001 00116  
15:17:00 03/31/2022 00001 00000 00001 00077 00001 00113 00001 00000 00001 00105  
15:18:00 03/31/2022 00001 00025 00001 00155 00001 00070 00001 00101 00001 00053  
15:19:00 03/31/2022 00001 00123 00001 00043 00001 00202 00001 00129 00001 00000  
15:20:00 03/31/2022 00001 00075 00001 00000 00001 00219 00001 00076 00001 00018  
15:21:00 03/31/2022 00001 00025 00001 00000 00001 00271 00001 00000 00001 00052  
15:22:00 03/31/2022 00001 00000 00001 00000 00001 00076 00001 00000 00001 00160  
15:23:00 03/31/2022 00001 00000 00001 00000 00001 00198 00001 00026 00001 00087  
15:24:00 03/31/2022 00001 00000 00001 00000 00001 00200 00001 00000 00001 00000  
15:25:00 03/31/2022 00001 00000 00001 00026 00001 00000 00001 00011 00001 00000  
15:26:00 03/31/2022 00001 00000 00001 00078 00001 00150 00001 00206 00001 00000  
15:27:00 03/31/2022 00001 00000 00001 00052 00001 00302 00001 00248 00001 00000  
15:28:00 03/31/2022 00001 00000 00001 00026 00001 00268 00001 00152 00001 00000  
15:29:00 03/31/2022 00001 00000 00001 00078 00001 00306 00001 00051 00001 00000  
15:30:00 03/31/2022 00001 00000 00001 00026 00001 00153 00001 00180 00001 00000  
15:31:00 03/31/2022 00001 00000 00001 00026 00001 00000 00001 00000 00001 00000  
15:32:00 03/31/2022 00001 00000 00001 00000 00001 00000 00001 00102 00001 00000  
15:33:00 03/31/2022 00001 00000 00001 00077 00001 00000 00001 00025 00001 00000  
15:34:00 03/31/2022 00001 00000 00001 00077 00001 00000 00001 00026 00001 00000  
15:35:00 03/31/2022 00001 00000 00001 00026 00001 00000 00001 00077 00001 00000  
15:36:00 03/31/2022 00001 00000 00001 00052 00001 00000 00001 00000 00001 00000  
15:37:00 03/31/2022 00001 00000 00001 00052 00001 00000 00001 00000 00001 00000  
15:38:00 03/31/2022 00001 00000 00001 00077 00001 00000 00001 00000 00001 00000  
